freq,isced11,sex,age,unit,geo\TIME_PERIOD	2017 	2021 
A,TOTAL,T,Y15-64,PC_ACT,AT11	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,AT12	1.8 	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,AT13	4.1 	4.9 b
A,TOTAL,T,Y15-64,PC_ACT,AT21	1.7 u	1.6 bu
A,TOTAL,T,Y15-64,PC_ACT,AT22	1.4 	0.9 bu
A,TOTAL,T,Y15-64,PC_ACT,AT31	1.1 	1.0 b
A,TOTAL,T,Y15-64,PC_ACT,AT32	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,AT33	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,AT34	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,BE10	8.1 b	6.9 b
A,TOTAL,T,Y15-64,PC_ACT,BE21	2.3 b	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,BE22	1.6 b	0.8 bu
A,TOTAL,T,Y15-64,PC_ACT,BE23	1.0 b	0.6 bu
A,TOTAL,T,Y15-64,PC_ACT,BE24	1.6 b	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,BE25	1.0 b	0.7 bu
A,TOTAL,T,Y15-64,PC_ACT,BE31	3.7 b	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,BE32	7.2 b	5.6 b
A,TOTAL,T,Y15-64,PC_ACT,BE33	6.5 b	4.5 b
A,TOTAL,T,Y15-64,PC_ACT,BE34	2.6 bu	1.8 bu
A,TOTAL,T,Y15-64,PC_ACT,BE35	3.8 b	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,BG31	7.5 	7.8 b
A,TOTAL,T,Y15-64,PC_ACT,BG32	4.4 	3.8 b
A,TOTAL,T,Y15-64,PC_ACT,BG33	4.7 	2.6 b
A,TOTAL,T,Y15-64,PC_ACT,BG34	3.7 	2.2 b
A,TOTAL,T,Y15-64,PC_ACT,BG41	1.7 	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,BG42	2.7 	1.9 b
A,TOTAL,T,Y15-64,PC_ACT,CH01	3.0 	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,CH02	1.6 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,CH03	1.5 	1.8 b
A,TOTAL,T,Y15-64,PC_ACT,CH04	1.4 	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,CH05	1.2 	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,CH06	0.9 u	1.1 b
A,TOTAL,T,Y15-64,PC_ACT,CH07	2.4 u	3.7 b
A,TOTAL,T,Y15-64,PC_ACT,CY00	4.6 	2.6 b
A,TOTAL,T,Y15-64,PC_ACT,CZ01	0.5 	0.5 b
A,TOTAL,T,Y15-64,PC_ACT,CZ02	0.8 	0.8 b
A,TOTAL,T,Y15-64,PC_ACT,CZ03	0.7 	0.6 b
A,TOTAL,T,Y15-64,PC_ACT,CZ04	1.4 	1.3 b
A,TOTAL,T,Y15-64,PC_ACT,CZ05	0.8 	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,CZ06	1.0 	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,CZ07	1.1 	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,CZ08	2.1 	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,DE11	0.9 	0.9 bu
A,TOTAL,T,Y15-64,PC_ACT,DE12	1.0 	1.1 bu
A,TOTAL,T,Y15-64,PC_ACT,DE13	0.9 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE14	0.6 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE21	0.6 	0.5 bu
A,TOTAL,T,Y15-64,PC_ACT,DE22	0.8 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE23	0.9 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE24	1.1 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE25	0.7 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE26	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE27	0.9 	1.1 bu
A,TOTAL,T,Y15-64,PC_ACT,DE30	2.9 	1.8 b
A,TOTAL,T,Y15-64,PC_ACT,DE40	2.4 	1.4 bu
A,TOTAL,T,Y15-64,PC_ACT,DE50	1.7 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE60	1.9 	1.6 bu
A,TOTAL,T,Y15-64,PC_ACT,DE71	1.3 	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,DE72	1.5 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE73	1.0 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE80	2.7 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE91	2.1 	1.6 bu
A,TOTAL,T,Y15-64,PC_ACT,DE92	2.3 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE93	1.4 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE94	1.2 	1.3 bu
A,TOTAL,T,Y15-64,PC_ACT,DEA1	2.1 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,DEA2	1.6 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,DEA3	1.6 	1.1 bu
A,TOTAL,T,Y15-64,PC_ACT,DEA4	1.6 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DEA5	2.2 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,DEB1	1.2 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DEB2	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,DEB3	1.3 	1.6 bu
A,TOTAL,T,Y15-64,PC_ACT,DEC0	1.9 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DED2	2.2 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DED4	2.2 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DED5	2.6 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DEE0	4.0 	2.2 bu
A,TOTAL,T,Y15-64,PC_ACT,DEF0	1.3 	1.0 bu
A,TOTAL,T,Y15-64,PC_ACT,DEG0	2.1 	1.3 bu
A,TOTAL,T,Y15-64,PC_ACT,DK01	1.4 b	1.3 b
A,TOTAL,T,Y15-64,PC_ACT,DK02	1.3 b	0.9 bu
A,TOTAL,T,Y15-64,PC_ACT,DK03	1.2 b	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,DK04	1.0 b	0.9 b
A,TOTAL,T,Y15-64,PC_ACT,DK05	1.2 bu	1.2 bu
A,TOTAL,T,Y15-64,PC_ACT,EE00	2.1 	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,EL30	16.7 	7.3 b
A,TOTAL,T,Y15-64,PC_ACT,EL41	15.5 	8.6 b
A,TOTAL,T,Y15-64,PC_ACT,EL42	6.3 	4.5 b
A,TOTAL,T,Y15-64,PC_ACT,EL43	10.0 	6.7 b
A,TOTAL,T,Y15-64,PC_ACT,EL51	14.1 	14.2 b
A,TOTAL,T,Y15-64,PC_ACT,EL52	16.6 	11.0 b
A,TOTAL,T,Y15-64,PC_ACT,EL53	21.0 	12.7 b
A,TOTAL,T,Y15-64,PC_ACT,EL54	18.7 	8.1 b
A,TOTAL,T,Y15-64,PC_ACT,EL61	16.2 	11.7 b
A,TOTAL,T,Y15-64,PC_ACT,EL62	10.2 	6.3 b
A,TOTAL,T,Y15-64,PC_ACT,EL63	19.9 	11.4 b
A,TOTAL,T,Y15-64,PC_ACT,EL64	15.6 	13.8 b
A,TOTAL,T,Y15-64,PC_ACT,EL65	12.5 	8.1 b
A,TOTAL,T,Y15-64,PC_ACT,ES11	7.9 	4.7 bd
A,TOTAL,T,Y15-64,PC_ACT,ES12	7.0 	5.7 bd
A,TOTAL,T,Y15-64,PC_ACT,ES13	6.5 	4.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES21	5.5 	4.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES22	3.8 	4.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES23	5.0 	4.1 bd
A,TOTAL,T,Y15-64,PC_ACT,ES24	4.8 	3.6 bd
A,TOTAL,T,Y15-64,PC_ACT,ES30	6.1 	4.7 bd
A,TOTAL,T,Y15-64,PC_ACT,ES41	6.1 	4.6 bd
A,TOTAL,T,Y15-64,PC_ACT,ES42	9.6 	7.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES43	12.0 	7.0 bd
A,TOTAL,T,Y15-64,PC_ACT,ES51	6.3 	4.9 bd
A,TOTAL,T,Y15-64,PC_ACT,ES52	7.6 	6.9 bd
A,TOTAL,T,Y15-64,PC_ACT,ES53	3.5 	5.6 bd
A,TOTAL,T,Y15-64,PC_ACT,ES61	11.0 	9.0 bd
A,TOTAL,T,Y15-64,PC_ACT,ES62	7.6 	6.0 bd
A,TOTAL,T,Y15-64,PC_ACT,ES63	13.0 u	20.8 bd
A,TOTAL,T,Y15-64,PC_ACT,ES64	17.8 	16.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES70	11.2 	11.8 bd
A,TOTAL,T,Y15-64,PC_ACT,FI19	2.2 	2.0 b
A,TOTAL,T,Y15-64,PC_ACT,FI1B	1.9 	1.9 b
A,TOTAL,T,Y15-64,PC_ACT,FI1C	2.3 	1.9 b
A,TOTAL,T,Y15-64,PC_ACT,FI1D	2.3 	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,FI20	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,FR10	4.0 	2.4 bd
A,TOTAL,T,Y15-64,PC_ACT,FRB0	3.9 	1.9 bd
A,TOTAL,T,Y15-64,PC_ACT,FRC1	4.6 	2.4 bd
A,TOTAL,T,Y15-64,PC_ACT,FRC2	2.8 	1.8 bdu
A,TOTAL,T,Y15-64,PC_ACT,FRD1	2.8 	1.3 bdu
A,TOTAL,T,Y15-64,PC_ACT,FRD2	5.9 	2.5 bd
A,TOTAL,T,Y15-64,PC_ACT,FRE1	6.7 	3.2 bd
A,TOTAL,T,Y15-64,PC_ACT,FRE2	5.3 	3.6 bd
A,TOTAL,T,Y15-64,PC_ACT,FRF1	3.8 	2.0 bd
A,TOTAL,T,Y15-64,PC_ACT,FRF2	4.8 	2.8 bd
A,TOTAL,T,Y15-64,PC_ACT,FRF3	5.8 	2.9 bd
A,TOTAL,T,Y15-64,PC_ACT,FRG0	2.5 	1.3 bd
A,TOTAL,T,Y15-64,PC_ACT,FRH0	2.9 	1.2 bd
A,TOTAL,T,Y15-64,PC_ACT,FRI1	3.9 	1.8 bd
A,TOTAL,T,Y15-64,PC_ACT,FRI2	2.6 u	1.7 bdu
A,TOTAL,T,Y15-64,PC_ACT,FRI3	3.6 	1.9 bd
A,TOTAL,T,Y15-64,PC_ACT,FRJ1	6.1 	3.7 bd
A,TOTAL,T,Y15-64,PC_ACT,FRJ2	2.9 	1.6 bd
A,TOTAL,T,Y15-64,PC_ACT,FRK1	3.4 	1.7 bd
A,TOTAL,T,Y15-64,PC_ACT,FRK2	2.5 	1.5 bd
A,TOTAL,T,Y15-64,PC_ACT,FRL0	4.5 	2.6 bd
A,TOTAL,T,Y15-64,PC_ACT,FRM0	5.5 u	: bu
A,TOTAL,T,Y15-64,PC_ACT,FRY1	16.5 	10.2 bd
A,TOTAL,T,Y15-64,PC_ACT,FRY2	11.9 	6.6 bd
A,TOTAL,T,Y15-64,PC_ACT,FRY3	16.2 	8.1 bd
A,TOTAL,T,Y15-64,PC_ACT,FRY4	13.5 	8.7 bd
A,TOTAL,T,Y15-64,PC_ACT,FRY5	25.2 	: 
A,TOTAL,T,Y15-64,PC_ACT,HR02	7.1 	3.5 b
A,TOTAL,T,Y15-64,PC_ACT,HR03	4.3 	3.0 b
A,TOTAL,T,Y15-64,PC_ACT,HR05	3.4 	2.3 bu
A,TOTAL,T,Y15-64,PC_ACT,HR06	3.9 	1.8 bu
A,TOTAL,T,Y15-64,PC_ACT,HU11	1.2 	0.8 b
A,TOTAL,T,Y15-64,PC_ACT,HU12	1.5 	0.8 b
A,TOTAL,T,Y15-64,PC_ACT,HU21	0.9 u	0.6 bu
A,TOTAL,T,Y15-64,PC_ACT,HU22	1.0 u	0.7 bu
A,TOTAL,T,Y15-64,PC_ACT,HU23	2.8 	1.3 b
A,TOTAL,T,Y15-64,PC_ACT,HU31	1.9 	2.0 b
A,TOTAL,T,Y15-64,PC_ACT,HU32	2.8 	2.6 b
A,TOTAL,T,Y15-64,PC_ACT,HU33	1.7 	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,IE04	3.2 b	1.3 bu
A,TOTAL,T,Y15-64,PC_ACT,IE05	3.2 b	2.0 b
A,TOTAL,T,Y15-64,PC_ACT,IE06	3.0 b	1.8 b
A,TOTAL,T,Y15-64,PC_ACT,IS00	0.3 	1.1 b
A,TOTAL,T,Y15-64,PC_ACT,ITC1	5.1 	4.2 b
A,TOTAL,T,Y15-64,PC_ACT,ITC2	3.4 u	: bu
A,TOTAL,T,Y15-64,PC_ACT,ITC3	4.7 	4.4 b
A,TOTAL,T,Y15-64,PC_ACT,ITC4	3.4 	2.7 b
A,TOTAL,T,Y15-64,PC_ACT,ITF1	6.7 	5.9 b
A,TOTAL,T,Y15-64,PC_ACT,ITF2	10.8 	6.7 b
A,TOTAL,T,Y15-64,PC_ACT,ITF3	14.0 	13.0 b
A,TOTAL,T,Y15-64,PC_ACT,ITF4	11.9 	9.2 b
A,TOTAL,T,Y15-64,PC_ACT,ITF5	8.2 	4.9 b
A,TOTAL,T,Y15-64,PC_ACT,ITF6	15.0 	11.9 b
A,TOTAL,T,Y15-64,PC_ACT,ITG1	14.6 	13.3 b
A,TOTAL,T,Y15-64,PC_ACT,ITG2	9.4 	7.4 b
A,TOTAL,T,Y15-64,PC_ACT,ITH1	1.2 	0.8 bu
A,TOTAL,T,Y15-64,PC_ACT,ITH2	2.1 	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,ITH3	3.2 	2.1 b
A,TOTAL,T,Y15-64,PC_ACT,ITH4	3.4 	2.5 b
A,TOTAL,T,Y15-64,PC_ACT,ITH5	3.0 	2.5 b
A,TOTAL,T,Y15-64,PC_ACT,ITI1	4.3 	3.6 b
A,TOTAL,T,Y15-64,PC_ACT,ITI2	5.4 	3.4 b
A,TOTAL,T,Y15-64,PC_ACT,ITI3	6.0 	3.8 b
A,TOTAL,T,Y15-64,PC_ACT,ITI4	6.0 	5.8 b
A,TOTAL,T,Y15-64,PC_ACT,LT01	2.0 	1.8 b
A,TOTAL,T,Y15-64,PC_ACT,LT02	3.1 	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,LU00	2.2 	1.8 b
A,TOTAL,T,Y15-64,PC_ACT,LV00	3.3 	2.4 b
A,TOTAL,T,Y15-64,PC_ACT,ME00	12.7 	: 
A,TOTAL,T,Y15-64,PC_ACT,MK00	17.5 	: 
A,TOTAL,T,Y15-64,PC_ACT,MT00	2.1 	1.0 b
A,TOTAL,T,Y15-64,PC_ACT,NL11	2.6 	1.2 b
A,TOTAL,T,Y15-64,PC_ACT,NL12	2.2 	1.0 b
A,TOTAL,T,Y15-64,PC_ACT,NL13	2.2 	: bu
A,TOTAL,T,Y15-64,PC_ACT,NL21	1.7 	0.8 b
A,TOTAL,T,Y15-64,PC_ACT,NL22	1.8 	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,NL23	2.5 	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,NL31	1.4 	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,NL32	1.7 	0.9 b
A,TOTAL,T,Y15-64,PC_ACT,NL33	2.3 	0.9 b
A,TOTAL,T,Y15-64,PC_ACT,NL34	1.0 u	0.8 bu
A,TOTAL,T,Y15-64,PC_ACT,NL41	1.7 	0.5 b
A,TOTAL,T,Y15-64,PC_ACT,NL42	1.8 	0.8 b
A,TOTAL,T,Y15-64,PC_ACT,NO02	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,NO06	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,NO07	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,NO08	1.2 	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,NO09	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,NO0A	1.5 	0.8 bu
A,TOTAL,T,Y15-64,PC_ACT,PL21	1.4 	0.8 bu
A,TOTAL,T,Y15-64,PC_ACT,PL22	1.3 	0.7 bu
A,TOTAL,T,Y15-64,PC_ACT,PL41	1.4 	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL42	1.4 u	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL43	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL51	1.3 	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL52	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL61	1.9 	1.3 bu
A,TOTAL,T,Y15-64,PC_ACT,PL62	2.1 u	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL63	0.9 u	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL71	1.3 u	1.1 bu
A,TOTAL,T,Y15-64,PC_ACT,PL72	2.2 u	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL81	2.6 	2.0 bu
A,TOTAL,T,Y15-64,PC_ACT,PL82	2.6 	1.4 bu
A,TOTAL,T,Y15-64,PC_ACT,PL84	1.6 u	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL91	1.1 u	: bu
A,TOTAL,T,Y15-64,PC_ACT,PL92	2.1 	1.1 bu
A,TOTAL,T,Y15-64,PC_ACT,PT11	5.6 	3.0 b
A,TOTAL,T,Y15-64,PC_ACT,PT15	2.9 	3.0 bu
A,TOTAL,T,Y15-64,PC_ACT,PT16	3.1 	2.3 b
A,TOTAL,T,Y15-64,PC_ACT,PT17	4.5 	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,PT18	4.1 	2.6 bu
A,TOTAL,T,Y15-64,PC_ACT,PT20	4.6 	3.3 bu
A,TOTAL,T,Y15-64,PC_ACT,PT30	6.2 	4.4 bu
A,TOTAL,T,Y15-64,PC_ACT,RO11	1.3 	0.9 bu
A,TOTAL,T,Y15-64,PC_ACT,RO12	1.9 	2.8 b
A,TOTAL,T,Y15-64,PC_ACT,RO21	0.9 	1.9 b
A,TOTAL,T,Y15-64,PC_ACT,RO22	3.1 	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,RO31	3.8 	3.0 b
A,TOTAL,T,Y15-64,PC_ACT,RO32	0.6 u	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,RO41	3.8 	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,RO42	2.2 	1.2 bu
A,TOTAL,T,Y15-64,PC_ACT,RS11	7.4 	3.1 b
A,TOTAL,T,Y15-64,PC_ACT,RS12	4.8 	3.5 b
A,TOTAL,T,Y15-64,PC_ACT,RS21	8.2 	7.0 b
A,TOTAL,T,Y15-64,PC_ACT,RS22	9.8 	7.3 b
A,TOTAL,T,Y15-64,PC_ACT,SE11	1.2 	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,SE12	1.6 	2.0 b
A,TOTAL,T,Y15-64,PC_ACT,SE21	0.9 	1.5 bu
A,TOTAL,T,Y15-64,PC_ACT,SE22	2.0 	2.9 b
A,TOTAL,T,Y15-64,PC_ACT,SE23	0.9 	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,SE31	1.2 	2.5 b
A,TOTAL,T,Y15-64,PC_ACT,SE32	1.1 	: bu
A,TOTAL,T,Y15-64,PC_ACT,SE33	0.8 	: bu
A,TOTAL,T,Y15-64,PC_ACT,SI03	3.4 	2.1 b
A,TOTAL,T,Y15-64,PC_ACT,SI04	2.9 	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,SK01	2.0 	: bu
A,TOTAL,T,Y15-64,PC_ACT,SK02	3.0 	2.0 b
A,TOTAL,T,Y15-64,PC_ACT,SK03	6.5 	4.2 b
A,TOTAL,T,Y15-64,PC_ACT,SK04	7.9 	7.1 b
A,TOTAL,T,Y15-64,PC_ACT,TR10	2.8 	3.9 b
A,TOTAL,T,Y15-64,PC_ACT,TR21	1.6 	3.0 b
A,TOTAL,T,Y15-64,PC_ACT,TR22	1.4 	2.1 b
A,TOTAL,T,Y15-64,PC_ACT,TR31	3.2 	5.7 b
A,TOTAL,T,Y15-64,PC_ACT,TR32	1.3 	3.6 b
A,TOTAL,T,Y15-64,PC_ACT,TR33	1.3 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,TR41	1.6 	2.2 b
A,TOTAL,T,Y15-64,PC_ACT,TR42	2.2 	2.5 b
A,TOTAL,T,Y15-64,PC_ACT,TR51	2.4 	4.5 b
A,TOTAL,T,Y15-64,PC_ACT,TR52	0.7 	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,TR61	2.4 	3.4 b
A,TOTAL,T,Y15-64,PC_ACT,TR62	2.7 	4.3 b
A,TOTAL,T,Y15-64,PC_ACT,TR63	3.0 	5.3 b
A,TOTAL,T,Y15-64,PC_ACT,TR71	2.9 	4.0 b
A,TOTAL,T,Y15-64,PC_ACT,TR72	3.3 	4.0 b
A,TOTAL,T,Y15-64,PC_ACT,TR81	1.8 	4.1 b
A,TOTAL,T,Y15-64,PC_ACT,TR82	1.2 	1.9 b
A,TOTAL,T,Y15-64,PC_ACT,TR83	1.3 	2.2 b
A,TOTAL,T,Y15-64,PC_ACT,TR90	1.4 	3.5 b
A,TOTAL,T,Y15-64,PC_ACT,TRA1	1.2 	3.8 b
A,TOTAL,T,Y15-64,PC_ACT,TRA2	1.1 	3.7 b
A,TOTAL,T,Y15-64,PC_ACT,TRB1	1.5 	3.6 b
A,TOTAL,T,Y15-64,PC_ACT,TRB2	3.6 	6.7 b
A,TOTAL,T,Y15-64,PC_ACT,TRC1	3.6 	2.8 b
A,TOTAL,T,Y15-64,PC_ACT,TRC2	2.5 	3.8 b
A,TOTAL,T,Y15-64,PC_ACT,TRC3	11.6 	10.1 b
A,TOTAL,T,Y15-64,PC_ACT,UKC1	1.8 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKC2	2.2 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKD1	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKD3	1.1 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKD4	1.0 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKD6	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKD7	1.3 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKE1	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKE2	1.1 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKE3	1.6 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKE4	1.6 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKF1	0.9 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKF2	0.8 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKF3	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKG1	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKG2	1.4 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKG3	2.0 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKH1	0.8 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKH2	0.6 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKH3	1.2 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKI3	1.4 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKI4	1.4 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKI5	1.7 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKI6	1.5 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKI7	1.1 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKJ1	0.4 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKJ2	0.8 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKJ3	0.8 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKJ4	1.2 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKK1	1.0 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKK2	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKK3	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKK4	1.1 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKL1	1.3 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKL2	1.3 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM5	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM6	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM7	1.0 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM8	1.1 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM9	1.6 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKN0	2.3 	: 
