freq,na_item,unit,geo\TIME_PERIOD	2021 
A,RLPR_HW,I15,AT11	100.4 e
A,RLPR_HW,I15,AT12	103.2 e
A,RLPR_HW,I15,AT13	100.5 e
A,RLPR_HW,I15,AT21	108.7 e
A,RLPR_HW,I15,AT22	103.2 e
A,RLPR_HW,I15,AT31	105.7 e
A,RLPR_HW,I15,AT32	107.8 e
A,RLPR_HW,I15,AT33	100.3 e
A,RLPR_HW,I15,AT34	104 e
A,RLPR_HW,I15,ATZZ	105.5 e
A,RLPR_HW,I15,BE10	102 e
A,RLPR_HW,I15,BE21	104.2 e
A,RLPR_HW,I15,BE22	103.6 e
A,RLPR_HW,I15,BE23	101.2 e
A,RLPR_HW,I15,BE24	106.1 e
A,RLPR_HW,I15,BE25	102.2 e
A,RLPR_HW,I15,BE31	106.8 e
A,RLPR_HW,I15,BE32	104.6 e
A,RLPR_HW,I15,BE33	102.7 e
A,RLPR_HW,I15,BE34	104.7 e
A,RLPR_HW,I15,BE35	100.6 e
A,RLPR_HW,I15,BEZZ	119.3 e
A,RLPR_HW,I15,BG31	115.4 e
A,RLPR_HW,I15,BG32	113 e
A,RLPR_HW,I15,BG33	117.1 e
A,RLPR_HW,I15,BG34	113.9 e
A,RLPR_HW,I15,BG41	119.7 e
A,RLPR_HW,I15,BG42	115.4 e
A,RLPR_HW,I15,CY00	109.6 e
A,RLPR_HW,I15,CZ01	112.1 e
A,RLPR_HW,I15,CZ02	111.5 e
A,RLPR_HW,I15,CZ03	105.3 e
A,RLPR_HW,I15,CZ04	100.3 e
A,RLPR_HW,I15,CZ05	113 e
A,RLPR_HW,I15,CZ06	109.5 e
A,RLPR_HW,I15,CZ07	113.6 e
A,RLPR_HW,I15,CZ08	105.9 e
A,RLPR_HW,I15,DE11	104.2 e
A,RLPR_HW,I15,DE12	106.3 e
A,RLPR_HW,I15,DE13	108 e
A,RLPR_HW,I15,DE14	110.1 e
A,RLPR_HW,I15,DE21	106.6 e
A,RLPR_HW,I15,DE22	108.3 e
A,RLPR_HW,I15,DE23	106.5 e
A,RLPR_HW,I15,DE24	107 e
A,RLPR_HW,I15,DE25	107 e
A,RLPR_HW,I15,DE26	105.3 e
A,RLPR_HW,I15,DE27	104.8 e
A,RLPR_HW,I15,DE30	110.1 e
A,RLPR_HW,I15,DE40	108.1 e
A,RLPR_HW,I15,DE50	102.2 e
A,RLPR_HW,I15,DE60	103 e
A,RLPR_HW,I15,DE71	102.5 e
A,RLPR_HW,I15,DE72	108.1 e
A,RLPR_HW,I15,DE73	104.4 e
A,RLPR_HW,I15,DE80	109.7 e
A,RLPR_HW,I15,DE91	114.3 e
A,RLPR_HW,I15,DE92	105.1 e
A,RLPR_HW,I15,DE93	105.9 e
A,RLPR_HW,I15,DE94	104.7 e
A,RLPR_HW,I15,DEA1	102.6 e
A,RLPR_HW,I15,DEA2	101.4 e
A,RLPR_HW,I15,DEA3	104.5 e
A,RLPR_HW,I15,DEA4	103.5 e
A,RLPR_HW,I15,DEA5	103 e
A,RLPR_HW,I15,DEB1	106.7 e
A,RLPR_HW,I15,DEB2	106.1 e
A,RLPR_HW,I15,DEB3	114.1 e
A,RLPR_HW,I15,DEC0	99.5 e
A,RLPR_HW,I15,DED2	106.9 e
A,RLPR_HW,I15,DED4	107.7 e
A,RLPR_HW,I15,DED5	109 e
A,RLPR_HW,I15,DEE0	109.5 e
A,RLPR_HW,I15,DEF0	104.4 e
A,RLPR_HW,I15,DEG0	110.6 e
A,RLPR_HW,I15,DK01	110.6 e
A,RLPR_HW,I15,DK02	106.2 e
A,RLPR_HW,I15,DK03	103.7 e
A,RLPR_HW,I15,DK04	111.3 e
A,RLPR_HW,I15,DK05	102.2 e
A,RLPR_HW,I15,DKZZ	74.4 e
A,RLPR_HW,I15,EE00	121.8 e
A,RLPR_HW,I15,EL30	97.6 e
A,RLPR_HW,I15,EL41	96.8 e
A,RLPR_HW,I15,EL42	90.1 e
A,RLPR_HW,I15,EL43	92.4 e
A,RLPR_HW,I15,EL51	105.8 e
A,RLPR_HW,I15,EL52	100.3 e
A,RLPR_HW,I15,EL53	75.7 e
A,RLPR_HW,I15,EL54	99.2 e
A,RLPR_HW,I15,EL61	104.4 e
A,RLPR_HW,I15,EL62	92.9 e
A,RLPR_HW,I15,EL63	95.1 e
A,RLPR_HW,I15,EL64	111.3 e
A,RLPR_HW,I15,EL65	98.2 e
A,RLPR_HW,I15,ES11	105.1 e
A,RLPR_HW,I15,ES12	101.8 e
A,RLPR_HW,I15,ES13	103 e
A,RLPR_HW,I15,ES21	102.1 e
A,RLPR_HW,I15,ES22	103.6 e
A,RLPR_HW,I15,ES23	103.2 e
A,RLPR_HW,I15,ES24	101.1 e
A,RLPR_HW,I15,ES30	101.9 e
A,RLPR_HW,I15,ES41	101.3 e
A,RLPR_HW,I15,ES42	102 e
A,RLPR_HW,I15,ES43	97.4 e
A,RLPR_HW,I15,ES51	98.2 e
A,RLPR_HW,I15,ES52	99.7 e
A,RLPR_HW,I15,ES53	101.4 e
A,RLPR_HW,I15,ES61	99.9 e
A,RLPR_HW,I15,ES62	101.1 e
A,RLPR_HW,I15,ES63	119.7 e
A,RLPR_HW,I15,ES64	124.4 e
A,RLPR_HW,I15,ES70	96.9 e
A,RLPR_HW,I15,ESZZ	107.2 e
A,RLPR_HW,I15,FI19	105.8 e
A,RLPR_HW,I15,FI1B	104 e
A,RLPR_HW,I15,FI1C	105.5 e
A,RLPR_HW,I15,FI1D	104.8 e
A,RLPR_HW,I15,FI20	99.4 e
A,RLPR_HW,I15,FIZZ	79.9 e
A,RLPR_HW,I15,FR10	100.4 p
A,RLPR_HW,I15,FRB0	102.5 p
A,RLPR_HW,I15,FRC1	103.7 p
A,RLPR_HW,I15,FRC2	101.4 p
A,RLPR_HW,I15,FRD1	98.8 p
A,RLPR_HW,I15,FRD2	98.5 p
A,RLPR_HW,I15,FRE1	100.5 p
A,RLPR_HW,I15,FRE2	99.7 p
A,RLPR_HW,I15,FRF1	101.3 p
A,RLPR_HW,I15,FRF2	102.8 p
A,RLPR_HW,I15,FRF3	101.1 p
A,RLPR_HW,I15,FRG0	100.8 p
A,RLPR_HW,I15,FRH0	102.9 p
A,RLPR_HW,I15,FRI1	100.6 p
A,RLPR_HW,I15,FRI2	102.9 p
A,RLPR_HW,I15,FRI3	102.8 p
A,RLPR_HW,I15,FRJ1	101.7 p
A,RLPR_HW,I15,FRJ2	98.9 p
A,RLPR_HW,I15,FRK1	105.7 p
A,RLPR_HW,I15,FRK2	101 p
A,RLPR_HW,I15,FRL0	108.1 p
A,RLPR_HW,I15,FRM0	100 p
A,RLPR_HW,I15,FRY1	105.2 p
A,RLPR_HW,I15,FRY2	105.7 p
A,RLPR_HW,I15,FRY3	80.7 p
A,RLPR_HW,I15,FRY4	112.6 p
A,RLPR_HW,I15,FRY5	112.1 p
A,RLPR_HW,I15,HR02	108.4 e
A,RLPR_HW,I15,HR03	103.9 e
A,RLPR_HW,I15,HR05	108.8 e
A,RLPR_HW,I15,HR06	117.3 e
A,RLPR_HW,I15,HU11	115.6 e
A,RLPR_HW,I15,HU12	118 e
A,RLPR_HW,I15,HU21	106.3 e
A,RLPR_HW,I15,HU22	105.3 e
A,RLPR_HW,I15,HU23	113.7 e
A,RLPR_HW,I15,HU31	114.6 e
A,RLPR_HW,I15,HU32	116.5 e
A,RLPR_HW,I15,HU33	113.8 e
A,RLPR_HW,I15,IE04	117 e
A,RLPR_HW,I15,IE05	148.1 e
A,RLPR_HW,I15,IE06	138.2 e
A,RLPR_HW,I15,ITC1	101.8 e
A,RLPR_HW,I15,ITC2	97.8 e
A,RLPR_HW,I15,ITC3	99.3 e
A,RLPR_HW,I15,ITC4	103.7 e
A,RLPR_HW,I15,ITF1	105.2 e
A,RLPR_HW,I15,ITF2	103.6 e
A,RLPR_HW,I15,ITF3	101.8 e
A,RLPR_HW,I15,ITF4	101.5 e
A,RLPR_HW,I15,ITF5	106.3 e
A,RLPR_HW,I15,ITF6	104.4 e
A,RLPR_HW,I15,ITG1	100.9 e
A,RLPR_HW,I15,ITG2	98.2 e
A,RLPR_HW,I15,ITH1	99.2 e
A,RLPR_HW,I15,ITH2	103.5 e
A,RLPR_HW,I15,ITH3	100.6 e
A,RLPR_HW,I15,ITH4	103.8 e
A,RLPR_HW,I15,ITH5	103.7 e
A,RLPR_HW,I15,ITI1	99.9 e
A,RLPR_HW,I15,ITI2	98.9 e
A,RLPR_HW,I15,ITI3	99.5 e
A,RLPR_HW,I15,ITI4	100.2 e
A,RLPR_HW,I15,ITZZ	189.3 e
A,RLPR_HW,I15,LT01	119.8 e
A,RLPR_HW,I15,LT02	124.5 e
A,RLPR_HW,I15,LU00	101.8 e
A,RLPR_HW,I15,LV00	124.1 e
A,RLPR_HW,I15,MT00	102.9 e
A,RLPR_HW,I15,NL11	87.9 e
A,RLPR_HW,I15,NL12	100.9 e
A,RLPR_HW,I15,NL13	99.2 e
A,RLPR_HW,I15,NL21	102.7 e
A,RLPR_HW,I15,NL22	102.7 e
A,RLPR_HW,I15,NL23	101.3 e
A,RLPR_HW,I15,NL31	103.6 e
A,RLPR_HW,I15,NL32	106.5 e
A,RLPR_HW,I15,NL33	98.1 e
A,RLPR_HW,I15,NL34	102.1 e
A,RLPR_HW,I15,NL41	105.2 e
A,RLPR_HW,I15,NL42	105.2 e
A,RLPR_HW,I15,NLZZ	64.2 e
A,RLPR_HW,I15,PL21	115.5 e
A,RLPR_HW,I15,PL22	121.9 e
A,RLPR_HW,I15,PL41	116.2 e
A,RLPR_HW,I15,PL42	115.2 e
A,RLPR_HW,I15,PL43	114.5 e
A,RLPR_HW,I15,PL51	120.4 e
A,RLPR_HW,I15,PL52	113.6 e
A,RLPR_HW,I15,PL61	121.4 e
A,RLPR_HW,I15,PL62	112.5 e
A,RLPR_HW,I15,PL63	120.9 e
A,RLPR_HW,I15,PL71	120.2 e
A,RLPR_HW,I15,PL72	113.7 e
A,RLPR_HW,I15,PL81	118.1 e
A,RLPR_HW,I15,PL82	113.3 e
A,RLPR_HW,I15,PL84	121.5 e
A,RLPR_HW,I15,PL91	119.6 e
A,RLPR_HW,I15,PL92	126.9 e
A,RLPR_HW,I15,PT11	110.9 
A,RLPR_HW,I15,PT15	98.4 
A,RLPR_HW,I15,PT16	110.6 
A,RLPR_HW,I15,PT17	100 
A,RLPR_HW,I15,PT18	101.2 
A,RLPR_HW,I15,PT20	106.4 
A,RLPR_HW,I15,PT30	105 
A,RLPR_HW,I15,PTZZ	99.8 
A,RLPR_HW,I15,RO11	131.5 e
A,RLPR_HW,I15,RO12	111.9 e
A,RLPR_HW,I15,RO21	98.2 e
A,RLPR_HW,I15,RO22	109.1 e
A,RLPR_HW,I15,RO31	94.2 e
A,RLPR_HW,I15,RO32	152.5 e
A,RLPR_HW,I15,RO41	99.1 e
A,RLPR_HW,I15,RO42	135.4 e
A,RLPR_HW,I15,RS11	96 e
A,RLPR_HW,I15,RS12	108.5 e
A,RLPR_HW,I15,RS21	104.2 e
A,RLPR_HW,I15,RS22	135.7 e
A,RLPR_HW,I15,RSZZ	72.9 e
A,RLPR_HW,I15,SE11	109.5 e
A,RLPR_HW,I15,SE12	105.9 e
A,RLPR_HW,I15,SE21	110.5 e
A,RLPR_HW,I15,SE22	109.4 e
A,RLPR_HW,I15,SE23	105.5 e
A,RLPR_HW,I15,SE31	104.3 e
A,RLPR_HW,I15,SE32	107.1 e
A,RLPR_HW,I15,SE33	112.9 e
A,RLPR_HW,I15,SEZZ	92.1 e
A,RLPR_HW,I15,SI03	115.6 e
A,RLPR_HW,I15,SI04	114.5 e
A,RLPR_HW,I15,SK01	116 e
A,RLPR_HW,I15,SK02	121.7 e
A,RLPR_HW,I15,SK03	120.2 e
A,RLPR_HW,I15,SK04	119.1 e
