freq,sex,age,unit,geo\TIME_PERIOD	2017 	2021 
A,T,Y15-24,PC,AT11	: u	: bu
A,T,Y15-24,PC,AT12	5.6 	6.3 b
A,T,Y15-24,PC,AT13	8.0 	9.8 b
A,T,Y15-24,PC,AT21	: u	: bu
A,T,Y15-24,PC,AT22	4.4 u	4.2 bu
A,T,Y15-24,PC,AT31	4.4 	4.3 b
A,T,Y15-24,PC,AT32	: u	5.3 bu
A,T,Y15-24,PC,AT33	4.5 u	5.0 bu
A,T,Y15-24,PC,AT34	: u	: bu
A,T,Y15-24,PC,BE10	7.5 b	5.8 b
A,T,Y15-24,PC,BE21	5.5 b	5.6 b
A,T,Y15-24,PC,BE22	3.9 bu	3.7 bu
A,T,Y15-24,PC,BE23	3.4 b	4.3 b
A,T,Y15-24,PC,BE24	3.4 bu	4.3 b
A,T,Y15-24,PC,BE25	3.3 bu	4.7 b
A,T,Y15-24,PC,BE31	4.1 bu	5.3 bu
A,T,Y15-24,PC,BE32	9.5 b	7.9 b
A,T,Y15-24,PC,BE33	6.2 b	6.9 b
A,T,Y15-24,PC,BE34	: bu	: bu
A,T,Y15-24,PC,BE35	5.7 bu	6.1 bu
A,T,Y15-24,PC,BG31	4.6 u	: bu
A,T,Y15-24,PC,BG32	5.0 u	: bu
A,T,Y15-24,PC,BG33	4.5 u	: bu
A,T,Y15-24,PC,BG34	5.3 u	: bu
A,T,Y15-24,PC,BG41	1.6 u	2.1 bu
A,T,Y15-24,PC,BG42	2.8 u	: bu
A,T,Y15-24,PC,CH01	9.0 	8.3 b
A,T,Y15-24,PC,CH02	5.1 	5.2 b
A,T,Y15-24,PC,CH03	4.2 u	5.1 b
A,T,Y15-24,PC,CH04	4.6 	4.5 b
A,T,Y15-24,PC,CH05	4.6 	3.5 bu
A,T,Y15-24,PC,CH06	3.1 u	3.8 bu
A,T,Y15-24,PC,CH07	7.2 u	8.7 bu
A,T,Y15-24,PC,CY00	9.0 	7.2 b
A,T,Y15-24,PC,CZ01	1.0 u	1.4 bu
A,T,Y15-24,PC,CZ02	2.3 u	2.3 bu
A,T,Y15-24,PC,CZ03	1.9 u	1.5 bu
A,T,Y15-24,PC,CZ04	3.6 	3.3 b
A,T,Y15-24,PC,CZ05	2.9 	2.3 b
A,T,Y15-24,PC,CZ06	1.8 u	2.0 b
A,T,Y15-24,PC,CZ07	2.9 	2.1 bu
A,T,Y15-24,PC,CZ08	3.8 	2.7 b
A,T,Y15-24,PC,DE11	2.5 	3.1 bu
A,T,Y15-24,PC,DE12	3.8 	: bu
A,T,Y15-24,PC,DE13	2.9 	: bu
A,T,Y15-24,PC,DE14	: u	: bu
A,T,Y15-24,PC,DE21	2.0 	2.9 bu
A,T,Y15-24,PC,DE22	: u	: bu
A,T,Y15-24,PC,DE23	: u	: bu
A,T,Y15-24,PC,DE24	: u	: bu
A,T,Y15-24,PC,DE25	: u	: bu
A,T,Y15-24,PC,DE26	: u	: bu
A,T,Y15-24,PC,DE27	3.1 	: bu
A,T,Y15-24,PC,DE30	5.3 	4.6 bu
A,T,Y15-24,PC,DE40	3.9 	: bu
A,T,Y15-24,PC,DE50	: u	: bu
A,T,Y15-24,PC,DE60	4.6 	: bu
A,T,Y15-24,PC,DE71	4.5 	4.1 bu
A,T,Y15-24,PC,DE72	4.4 	: bu
A,T,Y15-24,PC,DE73	: u	: bu
A,T,Y15-24,PC,DE80	: u	: bu
A,T,Y15-24,PC,DE91	3.5 	: bu
A,T,Y15-24,PC,DE92	3.3 	: bu
A,T,Y15-24,PC,DE93	3.8 	: bu
A,T,Y15-24,PC,DE94	2.4 	: bu
A,T,Y15-24,PC,DEA1	3.7 	4.0 bu
A,T,Y15-24,PC,DEA2	3.2 	4.0 bu
A,T,Y15-24,PC,DEA3	3.1 	: bu
A,T,Y15-24,PC,DEA4	3.5 	: bu
A,T,Y15-24,PC,DEA5	3.6 	4.2 bu
A,T,Y15-24,PC,DEB1	4.3 	: bu
A,T,Y15-24,PC,DEB2	: u	: bu
A,T,Y15-24,PC,DEB3	4.0 	: bu
A,T,Y15-24,PC,DEC0	: u	: bu
A,T,Y15-24,PC,DED2	: u	: bu
A,T,Y15-24,PC,DED4	: u	: bu
A,T,Y15-24,PC,DED5	: u	: bu
A,T,Y15-24,PC,DEE0	4.3 	: bu
A,T,Y15-24,PC,DEF0	3.7 	: bu
A,T,Y15-24,PC,DEG0	5.0 	: bu
A,T,Y15-24,PC,DK01	7.7 b	6.3 b
A,T,Y15-24,PC,DK02	8.5 b	6.3 b
A,T,Y15-24,PC,DK03	7.9 b	6.2 b
A,T,Y15-24,PC,DK04	6.2 b	7.2 b
A,T,Y15-24,PC,DK05	7.8 b	6.8 b
A,T,Y15-24,PC,EE00	5.4 	6.7 b
A,T,Y15-24,PC,EL30	10.4 	5.2 b
A,T,Y15-24,PC,EL41	19.6 	11.9 bu
A,T,Y15-24,PC,EL42	10.6 u	6.4 bu
A,T,Y15-24,PC,EL43	8.2 	6.0 b
A,T,Y15-24,PC,EL51	11.2 	13.0 b
A,T,Y15-24,PC,EL52	9.0 	5.4 b
A,T,Y15-24,PC,EL53	15.4 	10.0 bu
A,T,Y15-24,PC,EL54	10.4 u	4.2 bu
A,T,Y15-24,PC,EL61	13.0 	9.4 b
A,T,Y15-24,PC,EL62	13.9 u	9.1 bu
A,T,Y15-24,PC,EL63	11.6 	12.3 b
A,T,Y15-24,PC,EL64	13.6 	11.7 b
A,T,Y15-24,PC,EL65	13.0 	10.1 b
A,T,Y15-24,PC,ES11	9.8 	7.3 bd
A,T,Y15-24,PC,ES12	9.2 	6.6 bd
A,T,Y15-24,PC,ES13	9.7 u	5.9 bdu
A,T,Y15-24,PC,ES21	7.5 	10.5 bd
A,T,Y15-24,PC,ES22	10.4 	6.5 bdu
A,T,Y15-24,PC,ES23	9.1 u	10.0 bdu
A,T,Y15-24,PC,ES24	10.2 	8.3 bd
A,T,Y15-24,PC,ES30	11.1 	9.9 bd
A,T,Y15-24,PC,ES41	10.5 	8.4 bd
A,T,Y15-24,PC,ES42	15.1 	10.9 bd
A,T,Y15-24,PC,ES43	15.3 	14.0 bd
A,T,Y15-24,PC,ES51	11.7 	10.9 bd
A,T,Y15-24,PC,ES52	15.6 	12.2 bd
A,T,Y15-24,PC,ES53	11.8 	10.6 bd
A,T,Y15-24,PC,ES61	15.6 	13.1 bd
A,T,Y15-24,PC,ES62	13.3 	9.9 bd
A,T,Y15-24,PC,ES63	13.3 u	15.6 bdu
A,T,Y15-24,PC,ES64	17.3 u	14.0 bdu
A,T,Y15-24,PC,ES70	15.6 	15.7 bd
A,T,Y15-24,PC,FI19	11.6 	9.5 b
A,T,Y15-24,PC,FI1B	10.1 	8.3 b
A,T,Y15-24,PC,FI1C	10.2 	9.5 b
A,T,Y15-24,PC,FI1D	11.1 	9.3 b
A,T,Y15-24,PC,FI20	: u	: bu
A,T,Y15-24,PC,FR10	7.1 	7.1 bd
A,T,Y15-24,PC,FRB0	8.3 	8.4 bd
A,T,Y15-24,PC,FRC1	10.5 	6.4 bd
A,T,Y15-24,PC,FRC2	8.4 u	6.5 bdu
A,T,Y15-24,PC,FRD1	9.2 	6.1 bdu
A,T,Y15-24,PC,FRD2	9.7 	8.2 bd
A,T,Y15-24,PC,FRE1	10.1 	9.1 bd
A,T,Y15-24,PC,FRE2	8.6 	8.5 bd
A,T,Y15-24,PC,FRF1	8.7 	7.5 bd
A,T,Y15-24,PC,FRF2	9.5 	7.5 bd
A,T,Y15-24,PC,FRF3	9.3 	8.9 bd
A,T,Y15-24,PC,FRG0	6.9 	6.4 bd
A,T,Y15-24,PC,FRH0	6.7 	5.9 bd
A,T,Y15-24,PC,FRI1	10.5 	7.4 bd
A,T,Y15-24,PC,FRI2	6.8 u	: bu
A,T,Y15-24,PC,FRI3	10.1 	10.2 bd
A,T,Y15-24,PC,FRJ1	8.5 	9.8 bd
A,T,Y15-24,PC,FRJ2	4.9 	6.4 bd
A,T,Y15-24,PC,FRK1	4.9 u	8.5 bd
A,T,Y15-24,PC,FRK2	6.6 	6.9 bd
A,T,Y15-24,PC,FRL0	8.8 	6.7 bd
A,T,Y15-24,PC,FRM0	9.6 u	: bu
A,T,Y15-24,PC,FRY1	13.5 	10.9 bdu
A,T,Y15-24,PC,FRY2	12.3 u	10.2 bdu
A,T,Y15-24,PC,FRY3	10.2 u	: bu
A,T,Y15-24,PC,FRY4	15.3 	11.0 bd
A,T,Y15-24,PC,FRY5	10.6 u	: 
A,T,Y15-24,PC,HR02	13.0 	10.1 b
A,T,Y15-24,PC,HR03	10.0 	7.2 bu
A,T,Y15-24,PC,HR05	5.3 u	5.1 bu
A,T,Y15-24,PC,HR06	8.2 u	5.1 bu
A,T,Y15-24,PC,HU11	2.7 u	3.0 bu
A,T,Y15-24,PC,HU12	: u	3.1 bu
A,T,Y15-24,PC,HU21	: u	2.7 bu
A,T,Y15-24,PC,HU22	3.0 u	: bu
A,T,Y15-24,PC,HU23	4.7 u	5.1 bu
A,T,Y15-24,PC,HU31	4.2 	4.9 b
A,T,Y15-24,PC,HU32	5.7 	7.6 b
A,T,Y15-24,PC,HU33	3.2 u	4.3 b
A,T,Y15-24,PC,IE04	5.3 b	6.1 bu
A,T,Y15-24,PC,IE05	6.7 b	7.5 b
A,T,Y15-24,PC,IE06	7.3 b	7.5 b
A,T,Y15-24,PC,IS00	6.5 	9.0 b
A,T,Y15-24,PC,ITC1	9.6 	6.5 b
A,T,Y15-24,PC,ITC2	: u	: bu
A,T,Y15-24,PC,ITC3	8.6 	8.0 b
A,T,Y15-24,PC,ITC4	6.3 	5.8 b
A,T,Y15-24,PC,ITF1	7.0 	6.3 b
A,T,Y15-24,PC,ITF2	10.4 	6.4 bu
A,T,Y15-24,PC,ITF3	12.9 	10.1 b
A,T,Y15-24,PC,ITF4	12.7 	9.4 b
A,T,Y15-24,PC,ITF5	7.5 	5.0 bu
A,T,Y15-24,PC,ITF6	11.1 	9.4 b
A,T,Y15-24,PC,ITG1	12.6 	10.1 b
A,T,Y15-24,PC,ITG2	11.7 	9.1 b
A,T,Y15-24,PC,ITH1	3.8 u	3.6 bu
A,T,Y15-24,PC,ITH2	6.0 	5.1 bu
A,T,Y15-24,PC,ITH3	6.3 	5.0 b
A,T,Y15-24,PC,ITH4	6.9 	5.2 b
A,T,Y15-24,PC,ITH5	6.4 	6.2 b
A,T,Y15-24,PC,ITI1	6.7 	6.9 b
A,T,Y15-24,PC,ITI2	8.6 	6.0 b
A,T,Y15-24,PC,ITI3	6.9 	5.3 b
A,T,Y15-24,PC,ITI4	8.9 	8.0 b
A,T,Y15-24,PC,LT01	2.7 u	4.3 bu
A,T,Y15-24,PC,LT02	5.4 	5.5 b
A,T,Y15-24,PC,LU00	4.7 	6.0 b
A,T,Y15-24,PC,LV00	6.8 	4.8 b
A,T,Y15-24,PC,ME00	9.9 	: 
A,T,Y15-24,PC,MK00	15.3 	: 
A,T,Y15-24,PC,MT00	5.6 	5.2 b
A,T,Y15-24,PC,NL11	7.9 	7.5 b
A,T,Y15-24,PC,NL12	7.3 	6.4 b
A,T,Y15-24,PC,NL13	6.6 	7.8 b
A,T,Y15-24,PC,NL21	6.5 	6.1 b
A,T,Y15-24,PC,NL22	5.9 	7.6 b
A,T,Y15-24,PC,NL23	7.9 	7.9 b
A,T,Y15-24,PC,NL31	5.2 	7.5 b
A,T,Y15-24,PC,NL32	5.2 	8.1 b
A,T,Y15-24,PC,NL33	6.8 	8.9 b
A,T,Y15-24,PC,NL34	3.7 u	4.9 bu
A,T,Y15-24,PC,NL41	5.3 	5.6 b
A,T,Y15-24,PC,NL42	5.9 	5.9 b
A,T,Y15-24,PC,NO02	: u	: bu
A,T,Y15-24,PC,NO06	: u	: bu
A,T,Y15-24,PC,NO07	: u	: bu
A,T,Y15-24,PC,NO08	6.2 	8.7 b
A,T,Y15-24,PC,NO09	6.1 u	6.8 bu
A,T,Y15-24,PC,NO0A	5.3 u	7.6 b
A,T,Y15-24,PC,PL21	4.9 	3.8 bu
A,T,Y15-24,PC,PL22	4.1 	4.6 bu
A,T,Y15-24,PC,PL41	2.7 u	3.0 bu
A,T,Y15-24,PC,PL42	4.5 u	: bu
A,T,Y15-24,PC,PL43	: u	: bu
A,T,Y15-24,PC,PL51	5.0 u	4.2 bu
A,T,Y15-24,PC,PL52	: u	: bu
A,T,Y15-24,PC,PL61	5.8 u	: bu
A,T,Y15-24,PC,PL62	7.5 u	: bu
A,T,Y15-24,PC,PL63	5.0 u	: bu
A,T,Y15-24,PC,PL71	4.1 u	4.9 bu
A,T,Y15-24,PC,PL72	6.3 u	: bu
A,T,Y15-24,PC,PL81	7.8 	5.4 bu
A,T,Y15-24,PC,PL82	8.9 	4.9 bu
A,T,Y15-24,PC,PL84	4.6 u	: bu
A,T,Y15-24,PC,PL91	3.1 u	: bu
A,T,Y15-24,PC,PL92	6.4 	: bu
A,T,Y15-24,PC,PT11	9.1 	7.2 b
A,T,Y15-24,PC,PT15	: u	: bu
A,T,Y15-24,PC,PT16	6.9 	5.5 b
A,T,Y15-24,PC,PT17	7.8 	8.2 b
A,T,Y15-24,PC,PT18	8.0 	6.1 bu
A,T,Y15-24,PC,PT20	: u	: bu
A,T,Y15-24,PC,PT30	: u	: bu
A,T,Y15-24,PC,RO11	3.9 u	3.1 bu
A,T,Y15-24,PC,RO12	5.4 	4.9 b
A,T,Y15-24,PC,RO21	3.7 	6.4 b
A,T,Y15-24,PC,RO22	6.3 	5.7 b
A,T,Y15-24,PC,RO31	8.6 	7.8 b
A,T,Y15-24,PC,RO32	6.5 u	3.9 bu
A,T,Y15-24,PC,RO41	6.7 	7.2 b
A,T,Y15-24,PC,RO42	: u	4.9 bu
A,T,Y15-24,PC,RS11	9.2 	6.8 b
A,T,Y15-24,PC,RS12	10.1 	8.6 b
A,T,Y15-24,PC,RS21	9.6 	10.0 b
A,T,Y15-24,PC,RS22	10.2 	8.7 b
A,T,Y15-24,PC,SE11	9.5 	14.1 b
A,T,Y15-24,PC,SE12	10.4 	13.6 b
A,T,Y15-24,PC,SE21	8.1 	12.7 b
A,T,Y15-24,PC,SE22	11.0 	14.5 b
A,T,Y15-24,PC,SE23	9.0 	12.9 b
A,T,Y15-24,PC,SE31	10.9 	12.9 b
A,T,Y15-24,PC,SE32	11.1 	10.6 bu
A,T,Y15-24,PC,SE33	8.6 	11.2 b
A,T,Y15-24,PC,SI03	5.0 	4.7 bu
A,T,Y15-24,PC,SI04	3.8 u	3.9 bu
A,T,Y15-24,PC,SK01	4.2 u	: bu
A,T,Y15-24,PC,SK02	3.3 	: bu
A,T,Y15-24,PC,SK03	6.5 	5.7 bu
A,T,Y15-24,PC,SK04	9.3 	8.4 b
A,T,Y15-24,PC,TR10	11.2 	9.3 b
A,T,Y15-24,PC,TR21	10.4 	8.9 b
A,T,Y15-24,PC,TR22	5.9 	7.9 b
A,T,Y15-24,PC,TR31	13.0 	11.5 b
A,T,Y15-24,PC,TR32	7.4 	8.3 b
A,T,Y15-24,PC,TR33	6.1 	7.3 b
A,T,Y15-24,PC,TR41	8.3 	8.2 b
A,T,Y15-24,PC,TR42	9.3 	8.7 b
A,T,Y15-24,PC,TR51	9.8 	11.2 b
A,T,Y15-24,PC,TR52	5.3 	6.5 b
A,T,Y15-24,PC,TR61	11.5 	9.5 b
A,T,Y15-24,PC,TR62	8.3 	10.7 b
A,T,Y15-24,PC,TR63	8.6 	12.2 b
A,T,Y15-24,PC,TR71	10.4 	9.4 b
A,T,Y15-24,PC,TR72	10.1 	10.7 b
A,T,Y15-24,PC,TR81	8.3 	11.3 b
A,T,Y15-24,PC,TR82	5.9 	6.8 b
A,T,Y15-24,PC,TR83	6.1 	8.0 b
A,T,Y15-24,PC,TR90	4.1 	11.4 b
A,T,Y15-24,PC,TRA1	4.2 	6.5 b
A,T,Y15-24,PC,TRA2	4.4 	8.2 b
A,T,Y15-24,PC,TRB1	4.6 	8.0 b
A,T,Y15-24,PC,TRB2	6.3 	10.8 b
A,T,Y15-24,PC,TRC1	9.4 	7.8 b
A,T,Y15-24,PC,TRC2	7.6 	6.7 b
A,T,Y15-24,PC,TRC3	12.1 	14.4 b
A,T,Y15-24,PC,UKC1	8.6 	: 
A,T,Y15-24,PC,UKC2	8.7 	: 
A,T,Y15-24,PC,UKD1	: u	: 
A,T,Y15-24,PC,UKD3	6.1 	: 
A,T,Y15-24,PC,UKD4	8.5 	: 
A,T,Y15-24,PC,UKD6	4.7 u	: 
A,T,Y15-24,PC,UKD7	7.5 	: 
A,T,Y15-24,PC,UKE1	6.6 u	: 
A,T,Y15-24,PC,UKE2	5.4 u	: 
A,T,Y15-24,PC,UKE3	7.4 	: 
A,T,Y15-24,PC,UKE4	6.1 	: 
A,T,Y15-24,PC,UKF1	6.9 	: 
A,T,Y15-24,PC,UKF2	6.6 	: 
A,T,Y15-24,PC,UKF3	7.5 u	: 
A,T,Y15-24,PC,UKG1	6.7 u	: 
A,T,Y15-24,PC,UKG2	10.5 	: 
A,T,Y15-24,PC,UKG3	10.2 	: 
A,T,Y15-24,PC,UKH1	7.8 	: 
A,T,Y15-24,PC,UKH2	6.4 	: 
A,T,Y15-24,PC,UKH3	6.5 	: 
A,T,Y15-24,PC,UKI3	5.6 u	: 
A,T,Y15-24,PC,UKI4	5.9 	: 
A,T,Y15-24,PC,UKI5	9.5 	: 
A,T,Y15-24,PC,UKI6	8.5 	: 
A,T,Y15-24,PC,UKI7	6.9 	: 
A,T,Y15-24,PC,UKJ1	5.7 	: 
A,T,Y15-24,PC,UKJ2	6.6 	: 
A,T,Y15-24,PC,UKJ3	7.6 	: 
A,T,Y15-24,PC,UKJ4	5.0 u	: 
A,T,Y15-24,PC,UKK1	7.0 	: 
A,T,Y15-24,PC,UKK2	4.8 u	: 
A,T,Y15-24,PC,UKK3	: u	: 
A,T,Y15-24,PC,UKK4	7.0 u	: 
A,T,Y15-24,PC,UKL1	7.4 	: 
A,T,Y15-24,PC,UKL2	7.1 u	: 
A,T,Y15-24,PC,UKM5	: u	: 
A,T,Y15-24,PC,UKM6	: u	: 
A,T,Y15-24,PC,UKM7	3.5 u	: 
A,T,Y15-24,PC,UKM8	7.1 	: 
A,T,Y15-24,PC,UKM9	8.7 u	: 
A,T,Y15-24,PC,UKN0	4.9 	: 
